caseid,wt2,wt2a,knowledge,sex,race,age,female,white,oftenvote,conservative,prayfreq,heterosexual,married,yrsofschool,income,speaker,vp,pm,cj
66,2.4834001,240467.73054,3,2,1,28,1,1,2,1,2,0,1,17,3,1,1,1,0
67,1.4904,144317.438864,2,1,1,90,0,1,4,4,4,1,1,12,13,1,1,0,0
68,1.3891,134508.768816,4,1,1,40,0,1,4,2,2,0,0,17,23,1,1,1,1
69,2.3004999,222758.520739,3,2,1,66,1,1,4,2,1,0,1,17,18,1,1,0,1
71,.88599998,85786.287767,2,2,1,47,1,1,4,1,4,1,0,16,17,1,1,0,0
72,.588,56938.655234,3,1,4,34,0,0,2,4,1,1,1,14,19,1,1,0,1
73,.48500001,46959.496896,0,1,2,20,0,0,1,1,5,1,0,14,1,0,0,0,0
75,.62959999,60966.896175,0,1,2,36,0,0,4,2,5,1,1,12,7,0,0,0,0
76,.8707,84307.732195,2,1,1,58,0,1,4,1,5,0,0,17,17,1,1,0,0
77,.82429999,79812.776753,4,1,1,32,0,1,4,1,4,1,1,17,18,1,1,1,1
78,.82429999,79812.776753,3,1,1,36,0,1,2,4,5,1,0,17,6,1,1,1,0
79,.82429999,79812.776753,3,2,4,29,1,0,4,2,3,1,1,17,11,1,1,0,1
80,.76709998,74277.628017,3,1,2,29,0,0,3,2,3,1,0,16,12,1,1,0,1
81,.2357,22819.147713,0,2,1,35,1,1,3,2,4,1,1,14,11,0,0,0,0
82,.90549999,87681.960272,0,1,1,28,0,1,1,5,1,1,0,17,15,0,0,0,0
83,.23729999,22976.632167,0,2,2,75,1,0,4,7,5,1,0,10,7,0,0,0,0
85,.73570001,71234.59314300001,0,2,1,35,1,1,4,5,3,1,1,16,20,0,0,0,0
86,.3788,36681.394423,0,2,1,25,1,1,1,7,5,1,1,12,3,0,0,0,0
87,.39050001,37816.082544,0,2,1,51,1,1,4,4,5,1,1,12,1,0,0,0,0
88,.73570001,71234.59314300001,0,1,1,38,0,1,3,6,5,1,1,16,18,0,0,0,0
89,.2485,24064.485557,0,2,1,52,1,1,3,5,5,1,0,14,11,0,0,0,0
90,.90549999,87681.960272,0,2,1,27,1,1,1,4,4,1,1,15,9,0,0,0,0
92,.1829,17708.098119,0,2,2,33,1,0,1,2,3,1,0,13,11,0,0,0,0
93,1.1329,109696.808614,0,1,1,25,0,1,4,6,3,1,0,15,14,0,0,0,0
94,.2604,25210.464906,0,1,1,51,0,1,1,4,4,1,0,12,12,0,0,0,0
95,.28529999,27622.723203,0,2,1,45,1,1,1,4,3,1,0,14,12,0,0,0,0
98,.36160001,35013.27355,0,2,1,28,1,1,1,3,3,1,0,14,10,0,0,0,0
99,.70819998,68569.997349,0,1,4,45,0,0,3,6,5,1,1,13,13,0,0,0,0
101,.77710003,75246.436048,0,1,1,54,0,1,2,3,3,1,0,17,4,0,0,0,0
104,.65069997,63010.204474,0,1,5,59,0,0,3,2,1,1,0,12,10,0,0,0,0
106,.2449,23711.341896,0,1,1,61,0,1,3,4,4,1,1,16,5,0,0,0,0
107,.36160001,35013.27355,1,1,4,28,0,0,3,2,2,1,0,14,4,0,1,0,0
109,.3788,36681.020796,0,1,4,26,0,0,3,3,2,1,0,12,6,0,0,0,0
110,.2782,26934.400872,2,1,1,60,0,1,4,2,1,1,1,12,19,1,1,0,0
111,.35100001,33991.028462,0,2,4,37,1,0,3,4,2,1,1,16,15,0,0,0,0
114,.49200001,47638.127732,0,2,4,30,1,0,1,6,4,1,1,12,1,0,0,0,0
