"ID","SexistRemarks","GainPower","HarrisTherm","TrumpTherm","RFemale","RAge","RConservative"
211395,3,3,10,95,0,80,6
211430,5,4,30,15,0,74,6
211450,2,4,50,50,0,43,1
211468,3,3,0,85,0,27,5
211474,4,1,5,75,1,43,7
211492,4,1,0,70,1,56,6
211566,4,4,0,70,1,26,6
211621,1,1,100,0,1,28,3
211626,1,1,85,0,0,64,3
211638,1,1,15,85,1,55,4
211656,3,3,75,0,0,32,3
211662,4,4,70,0,0,64,4
211673,1,1,50,0,0,31,1
211739,4,1,95,0,0,29,3
211745,3,3,15,50,0,39,4
211810,3,4,80,30,1,80,6
211834,3,3,70,0,1,71,4
211840,4,1,70,0,0,80,2
211852,2,1,90,0,1,43,3
211876,1,1,75,0,1,26,1
211887,3,5,50,0,0,75,5
211911,3,3,100,0,0,66,2
211929,3,2,70,30,0,80,4
211941,1,5,0,85,0,55,6
211958,3,4,30,60,0,36,4
211982,3,3,0,100,1,67,6
211994,4,2,45,0,0,76,5
212006,4,4,0,100,1,34,7
212018,4,2,13,40,0,42,5
212113,1,3,85,0,1,39,2
212125,3,2,0,85,1,25,6
212149,3,3,15,0,0,32,4
212191,2,1,85,0,1,22,4
212214,4,4,0,0,1,40,5
212220,3,2,60,70,0,26,2
212237,2,3,15,85,0,78,3
212289,3,3,70,0,1,37,4
212294,5,1,0,90,0,50,5
212300,3,3,0,100,0,44,6
212318,1,1,70,0,1,29,2
212359,3,1,75,5,1,26,3
212370,3,3,0,80,0,45,4
212382,3,1,60,0,1,57,3
212388,4,4,0,60,1,36,5
212400,3,1,0,85,1,42,6
212405,1,1,70,0,1,21,1
212411,3,3,0,85,1,69,6
212417,4,3,0,85,1,36,5
212423,3,1,65,70,0,56,4
212441,5,5,10,75,0,55,6
212463,3,3,70,0,1,44,2
212475,1,4,85,0,0,60,1
212487,4,3,85,0,1,67,2
212493,2,1,70,0,1,53,2
212504,3,2,100,0,0,58,1
212510,2,4,0,70,0,49,6
212534,3,3,0,100,0,68,7
212540,1,1,0,85,1,48,4
212558,4,5,15,85,0,69,6
212564,1,1,0,100,1,74,6
212570,3,2,0,100,0,31,6
212581,1,1,85,0,1,39,3
212599,4,2,0,100,1,27,6
212670,4,1,15,85,1,72,4
212687,1,1,100,0,0,48,2
212711,5,5,40,0,0,60,4
212729,2,3,0,85,1,23,6
