WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age2016,weights,BedSize
995939,1,0,0,10,2,4,1,0,1,69,0.1,3
995941,1,0,0,12,11,6,0,0,0,33,1.32,3
995946,1,0,0,12,12,2,1,0,0,51,0.71,4
995948,1,0,0,9,4,6,1,1,0,38,1.3,3
995949,1,0,0,15,12,2,0,0,1,74,0.24,2
995951,0,0,0,10,4,4,0,0,1,41,0.89,4
995952,1,0,0,12,10,5,0,0,0,47,0.26,3
995956,1,0,0,12,11,4,1,1,0,42,1.11,4
995957,1,0,0,13,6,6,1,1,0,50,0.2,3
995959,1,0,0,12,5,6,0,1,0,74,0.16,2
995963,0,0,1,13,11,4,0,0,0,56,0.35,3
995964,1,0,0,10,6,4,1,0,1,62,0.63,4
996407,1,0,0,9,3,8,1,0,0,54,1.47,3
996409,1,0,0,10,9,6,0,1,0,69,0.6,3
996412,1,0,0,12,6,2,1,0,1,78,0.1,3
996413,1,0,0,9,4,5,0,0,0,74,0.38,3
996418,1,0,0,11,2,6,0,1,0,44,0.1,2
996420,1,0,0,10,9,5,1,0,1,57,7.38,3
996421,1,0,0,10,10,1,0,0,0,49,0.78,4
996422,0,0,0,13,4,8,0,0,1,37,1.53,4
996425,1,0,0,10,7,4,1,1,0,53,0.7,3
996426,0,1,0,11,6,4,0,0,1,37,0.89,3
996430,1,0,0,12,7,3,0,0,1,87,0.13,3
996431,1,0,0,11,6,8,1,0,0,52,0.88,2
996434,1,0,0,13,3,1,0,0,1,83,0.06,2
996437,1,0,0,10,5,2,1,0,1,79,0.4,4
996438,1,0,0,15,12,2,1,0,0,69,1.37,4
996439,1,0,0,12,3,7,0,1,0,87,0.08,3
996443,1,0,0,12,5,2,0,0,1,63,0.19,4
996445,1,0,0,15,8,2,0,0,0,71,0.48,3
996446,0,0,0,13,3,4,1,0,1,35,0.38,1
996447,1,0,0,10,2,6,0,0,0,67,0.06,3
996448,0,1,0,10,3,5,1,1,0,67,0.21,2
996454,1,0,0,13,4,2,1,0,1,67,0.1,2
996455,1,0,0,13,9,6,1,1,0,54,0.21,3
996457,1,0,0,11,11,6,0,1,0,70,1.18,3
996458,1,0,0,13,7,2,1,0,1,59,0.43,3
996460,1,0,0,9,5,6,1,1,0,60,0.99,3
996461,1,0,0,13,8,5,0,1,0,72,0.22,3
996738,1,0,0,10,1,4,0,0,0,69,0.49,2
996741,0,0,0,10,11,8,1,0,0,57,4.05,4
996743,1,0,0,15,7,6,0,1,0,79,0.11,3
996744,1,0,0,13,13,5,0,1,0,68,0.24,4
996746,1,0,0,14,12,3,1,0,1,42,1.18,4
996749,1,0,0,12,3,1,1,0,1,31,1.17,3
996751,1,0,0,9,3,6,1,1,0,71,0.42,3
996752,1,0,0,10,2,2,1,1,0,69,0.43,4
996754,1,0,0,10,5,8,0,0,1,51,0.16,3
996755,1,0,0,12,7,8,0,0,0,33,0.43,3
996756,0,0,0,10,3,8,1,0,1,28,1.29,3
996758,1,0,0,12,8,1,0,0,1,51,0.16,3
996759,1,0,0,10,2,4,0,0,0,63,0.08,2
996760,1,0,0,12,12,4,0,1,0,87,0.25,4
996762,1,0,0,10,3,2,0,0,0,41,0.26,3
996763,0,0,0,10,11,7,0,1,0,62,0.75,3
996952,1,0,0,8,2,4,1,0,1,76,7.14,2
996957,1,0,0,12,9,4,0,0,0,69,0.45,4
996960,1,0,0,12,9,6,1,1,0,41,0.62,4
996961,1,0,0,13,9,2,0,0,1,66,0.12,4
996962,1,0,0,14,14,4,0,1,0,58,0.24,4
996963,1,0,0,13,15,5,1,1,0,57,0.38,3
996965,1,0,0,14,10,3,0,0,0,70,0.12,3
996968,1,0,0,10,9,6,1,1,0,54,0.72,3
996970,1,0,0,12,11,8,1,0,0,56,0.4,4
996971,0,1,0,13,8,2,1,0,1,53,0.86,4
