WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age2016,StealShampoo,weights
996975,1,0,0,9,6,5,1,0,0,33,0,1.73
996976,1,0,0,10,10,7,0,0,0,68,1,0.59
996981,0,1,0,5,1,6,0,0,1,38,1,0.74
997212,1,0,0,14,12,6,0,1,0,28,1,0.54
997216,1,0,0,12,3,2,1,0,1,38,1,0.11
997217,1,0,0,11,11,2,0,0,0,38,1,1.43
997220,1,0,0,13,7,5,1,0,0,25,0,0.38
997224,1,0,0,13,11,6,0,1,0,52,1,0.21
997225,1,0,0,11,4,6,0,0,1,54,1,0.24
997228,1,0,0,9,2,7,0,1,0,40,1,0.22
997229,1,0,0,13,11,5,0,1,0,37,1,0.54
997231,1,0,0,12,5,7,1,1,0,64,1,0.16
997232,1,0,0,13,4,1,0,0,1,61,1,0.12
997235,1,0,0,10,8,4,1,0,0,39,1,3.1
997807,0,1,0,12,2,8,1,0,1,33,1,0.17
997811,1,0,0,10,13,2,0,0,0,32,1,0.99
997812,1,0,0,15,15,6,0,1,0,64,1,0.3
997813,1,0,0,12,1,2,1,0,0,61,1,0.29
997814,1,0,0,10,11,7,1,1,0,71,0,1.18
997816,1,0,0,12,11,4,0,1,0,49,1,0.45
997817,1,1,1,14,2,1,0,0,1,76,1,0.06
997818,1,0,0,12,7,6,0,0,0,29,1,0.13
997820,1,0,0,9,2,4,1,0,1,34,1,0.07
997822,1,0,0,12,10,5,1,0,0,58,1,0.36
997823,1,0,0,12,6,2,0,0,1,64,1,0.25
997824,1,0,0,13,7,4,1,0,0,56,1,0.11
997827,1,0,0,12,3,7,1,1,0,62,1,1.27
997829,1,0,0,12,8,4,1,0,0,52,1,0.84
997831,1,0,0,11,7,6,0,0,0,48,1,0.42
997832,1,0,0,10,7,3,0,0,1,40,0,3
997833,1,0,0,9,7,5,1,0,0,48,1,2.91
997842,1,0,0,13,6,4,1,0,1,25,1,0.2
997844,1,0,0,10,6,5,1,0,0,53,1,0.97
997846,1,0,0,14,8,4,0,0,0,64,1,0.48
997851,1,0,0,13,14,4,0,0,0,64,1,0.24
997855,1,0,0,12,8,3,1,0,1,63,1,0.21
997859,1,0,0,9,9,8,0,0,0,76,0,1.65
997861,1,0,0,14,6,4,1,0,1,58,1,0.19
997864,1,0,0,10,6,6,0,1,0,83,1,0.47
997868,1,0,0,12,2,6,1,0,1,34,1,0.14
997870,1,0,0,11,3,8,1,0,0,56,1,0.06
997871,1,0,0,12,8,3,0,0,0,73,1,0.82
997872,1,0,0,11,5,5,0,1,0,61,0,0.62
998051,1,0,0,9,4,5,1,0,0,54,1,0.81
998052,1,0,0,15,14,5,1,1,0,43,1,0.76
998058,1,0,0,10,6,6,0,0,0,37,1,0.38
998062,0,1,0,9,3,3,0,0,1,81,1,5.15
998063,1,0,0,10,2,2,1,0,1,57,1,0.1
998064,1,0,0,12,4,4,1,0,0,28,1,0.1
998066,0,0,0,8,2,4,1,0,0,86,0,1.01
998068,1,0,0,10,11,2,1,0,1,40,1,2.67
998069,1,0,0,13,13,7,0,0,0,49,1,0.34
998070,1,0,0,15,9,4,1,0,1,32,1,0.34
998073,1,0,0,11,1,1,1,0,0,76,1,3.56
998075,1,0,0,13,10,6,0,1,0,69,1,0.15
998076,1,0,0,10,4,5,1,0,1,64,1,0.31
998138,1,0,0,13,7,5,1,0,0,54,1,0.2
998139,1,0,0,12,8,2,1,0,0,35,1,0.34
998140,1,0,0,10,3,2,1,0,1,48,1,0.34
998276,1,0,0,12,5,6,1,0,0,38,1,0.11
998278,1,0,0,13,14,5,1,1,0,35,1,0.36
998279,0,0,1,9,2,3,0,0,1,74,0,7.38
998281,0,1,0,11,4,2,1,0,1,58,1,0.75
998284,1,0,0,12,4,4,1,1,0,42,0,0.1
998478,1,0,0,11,8,6,1,1,0,51,1,0.35
998479,1,0,0,12,3,4,1,0,0,54,1,0.06
